;Infracciones;AOL;Suspensiones;Juicio Experto;N° Dest Sin AOL;Ton Dest SIN AOL;N° Patentes Utilizadas;Prom Días (Fecha Recurso a Fecha Declaración);N° Regiones destino;N° Transacciones;N° Destinatarios;N° Especies Visadas;N° Declaraciones Origen;Toneladas Abastecimiento;Abastecimiento DA;Abastecimiento DI;Abastecimiento COM;N° Declaraciones de Proveedor;Toneladas Destinos;N° Declaraciones Abastecimiento;Toneladas Stock;N° Declaraciones Destinos;Toneladas Visadas;N° Solicitudes AOL;Prom Tons AOL
Wilmar Barrios | Tolima & Colombia*;13;20;0;;2.098;1.566,85;29;1;1;2212;2;2;3836;3.796,47;3790,737;0;5,73;3.835;3.788,44;1.186;8,04;1.026;2217,093;772;2,87
Augusto Batalla | River Plate & Argentina;13;1;0;5;17;9,26;16;1;6;132;9;3;113;133,47;84,259;0;49,206;99;133,24;65;0,22;67;128,901;62;2,08
Michy Batshuayi | Marseille & Belgium*;12;10;0;;8;1,21;30;1;5;1110;64;3;233;199,60;0;0;199,604;120;198,83;124;0,77;986;202,788;984;0,21
Claudio Beauvue |Celta Vigo & France;11;3;0;;4;0,11;21;2;7;407;22;21;108;77,93;50,641;0;27,29;155;77,94;152;0,00;255;183,312;253;0,72
Karim Bellarabi | Bayer Leverkusen & Germany;11;0;0;;0;0,00;8;0;2;90;9;1;102;85,61;82,71;0;2,9;103;85,61;45;0,00;45;85,61;45;1,90
Hatem Ben Arfa | Nice & France*;11;1;0;;58;15,87;47;18;5;195;37;12;69;76,01;0;0;76,011;44;75,18;39;0,83;156;237,629;128;1,86
Lars Bender | Bayer 04 Leverkusen & Germany;11;0;0;;0;0,00;9;1;3;106;14;6;53;24,82;0,52;0;24,3;42;24,82;42;0,00;64;27,793;64;0,43
Dario Benedetto | America & Mexico;10;12;0;;355;24,10;94;15;6;1852;123;45;302;127,04;0;0;127,038;248;111,00;246;19,48;1.606;375,706;1.306;0,29
Martin Benitez | Independiente & Argentina*;10;1;0;;60;25,96;35;2;5;312;26;8;145;157,56;151,366;0;2,623;150;157,76;119;0,00;193;139,777;139;1,01
Karim Benzema | Real Madrid & France;10;0;0;;7;1,46;9;13;4;1149;84;15;172;46,29;0;0;46,288;170;41,14;158;5,15;991;315,679;985;0,32
Domenico Berardi | Sassuolo & Italy;10;2;0;;2;0,68;15;0;2;131;2;3;66;19,63;0,3;0;19,326;65;19,63;65;0,00;66;20,444;65;0,31
Bernardo Silva Monaco & Portugal;9;1;0;;2;1,70;23;1;1;370;9;2;435;290,43;290,426;0;0;435;290,42;183;0,01;187;290,911;186;1,56
Lucas Biglia | Lazio & Argentina;9;4;0;;182;155,04;23;5;1;326;6;3;548;444,45;49,264;0;395,184;188;444,45;164;0,00;162;296,961;107;2,78
Birkir Bjarnason | Basel & Iceland*;9;12;0;;12;0,79;39;3;3;267;35;11;82;31,33;0;0;30,84;76;12,25;77;19,08;190;15,418;180;0,09
Jerome Boateng Bayern Munich & Germany;8;0;0;;7;1,11;30;6;5;50;20;6;5;8,46;0;0;8,455;6;8,06;6;0,40;44;38,502;38;1,01
Daniel Bode | Ferencvaros & Hungary*;8;18;0;;17;11,75;11;3;1;174;7;2;372;252,31;226,652;0;25,659;364;252,31;108;0,00;66;252,231;62;4,07
Miler Bolaños | Gremio & Ecuador;7;11;0;;279;228,00;27;1;3;690;12;3;1197;1.107,64;1096,164;0;9,751;1.202;1.107,00;320;0,64;371;872,811;302;2,89
Yannick Bolasie | Crystal Palace & DR Congo;7;64;0;;19;1,14;11;11;7;480;59;1;130;66,31;25,31;0;40,645;116;66,41;108;0,65;372;65,271;466;0,14
Giacomo Bonaventura Milan & Italy;7;1;0;;15;0,72;39;27;4;150;37;13;39;5,27;0;0;5,268;36;5,21;35;0,30;115;45,407;105;0,43
Leonardo Bonucci Juventus & Italy*;7;14;0;;6;2,77;18;14;6;60;29;1;27;23,67;23,67;0;0;27;25,15;27;0,00;33;22,38;67;0,33
